CULTIVAR,CLASS,Exp,GERM,SL,RL,TL,SDM,RDM,TDM
5D 615 RR,Control,1,92,7.5,8.5,16.0,35.9,21.2,57.1
5D 615 RR,Control,2,100,8.2,10.3,18.5,31.2,15.8,47.0
5D 615 RR,Control,3,100,12.3,10.0,22.2,39.5,16.6,56.1
5D 615 RR,Control,4,100,8.1,10.6,18.7,32.5,19.8,52.3
5D 6215 IPRO,Control,1,100,15.3,11.2,26.5,44.5,14.3,58.8
5D 6215 IPRO,Control,2,96,13.2,10.7,23.9,35.4,12.4,47.8
5D 6215 IPRO,Control,3,96,14.4,11.8,26.2,38.7,15.4,54.1
5D 6215 IPRO,Control,4,96,9.7,9.7,19.4,36.1,14.2,50.2
5D 690 RR,Control,1,76,10.7,9.9,20.6,38.4,15.4,53.9
5D 690 RR,Control,2,92,13.1,8.8,21.8,50.1,18.4,68.4
5D 690 RR,Control,3,92,10.1,9.0,19.1,44.0,16.0,60.0
5D 690 RR,Control,4,96,10.6,7.9,18.5,47.9,19.0,67.0
5G 770 RR,Control,1,100,12.3,10.9,23.1,39.7,14.2,53.8
5G 770 RR,Control,2,100,13.2,10.7,23.9,39.7,13.4,53.1
5G 770 RR,Control,3,100,10.8,11.1,21.8,41.9,17.0,58.9
5G 770 RR,Control,4,100,11.2,13.2,24.3,35.2,14.7,49.9
5G 830 RR,Control,1,100,10.8,9.2,19.9,37.1,12.6,49.7
5G 830 RR,Control,2,100,17.8,10.3,28.1,45.2,10.2,55.4
5G 830 RR,Control,3,100,16.5,12.6,29.1,45.1,11.4,56.6
5G 830 RR,Control,4,100,14.1,11.3,25.4,42.0,12.6,54.7
95R51,Control,1,76,10.7,7.5,18.2,59.0,20.4,79.5
95R51,Control,2,96,14.1,8.4,22.5,46.6,12.4,59.0
95R51,Control,3,92,15.9,9.7,25.6,50.6,12.8,63.4
95R51,Control,4,100,12.5,7.5,20.0,52.8,13.2,66.0
97R21,Control,1,92,20.2,13.5,33.7,49.2,16.1,65.3
97R21,Control,2,96,13.2,10.7,23.9,47.1,15.6,62.7
97R21,Control,3,100,10.0,10.2,20.2,48.8,15.6,64.4
97R21,Control,4,100,16.2,13.9,30.1,52.4,15.9,68.3
97R50 IPRO,Control,1,100,20.9,13.2,34.1,55.0,18.8,73.8
97R50 IPRO,Control,2,100,19.6,11.0,30.6,55.0,16.9,71.9
97R50 IPRO,Control,3,100,15.5,15.2,30.6,52.3,20.8,73.1
97R50 IPRO,Control,4,100,17.4,16.4,33.8,50.6,20.7,71.4
97R73 RR,Control,1,92,11.7,11.7,23.4,46.3,20.4,66.6
97R73 RR,Control,2,96,12.9,12.5,25.4,49.3,21.7,71.1
97R73 RR,Control,3,100,11.7,13.6,25.3,43.7,21.4,65.1
97R73 RR,Control,4,100,12.8,12.2,25.0,40.9,18.9,59.7
98R31 IPRO,Control,1,100,17.1,14.5,31.6,59.1,19.1,78.1
98R31 IPRO,Control,2,96,15.7,12.3,28.0,56.5,20.8,77.2
98R31 IPRO,Control,3,100,14.5,11.4,25.9,55.3,17.9,73.3
98R31 IPRO,Control,4,92,15.4,14.3,29.6,60.2,20.0,80.2
98R35 IPRO,Control,1,92,12.8,11.7,24.5,43.4,13.6,57.0
98R35 IPRO,Control,2,100,15.5,13.5,29.0,50.9,14.5,65.3
98R35 IPRO,Control,3,100,13.3,11.2,24.5,47.4,13.1,60.4
98R35 IPRO,Control,4,100,13.9,13.9,27.8,54.5,15.9,70.4
AS 3575 IPRO,Control,1,100,15.9,15.9,31.8,52.5,17.2,69.6
AS 3575 IPRO,Control,2,100,16.0,16.2,32.2,48.1,18.1,66.2
AS 3575 IPRO,Control,3,96,16.6,13.7,30.3,49.7,18.1,67.9
AS 3575 IPRO,Control,4,100,14.4,13.6,28.0,47.1,16.5,63.6
AS 3610 IPRO,Control,1,100,22.0,16.6,38.6,49.7,17.2,66.8
AS 3610 IPRO,Control,2,100,17.7,17.8,35.5,50.1,19.0,69.1
AS 3610 IPRO,Control,3,92,16.2,16.4,32.6,56.9,19.4,76.2
AS 3610 IPRO,Control,4,100,16.5,14.3,30.8,49.1,17.3,66.4
BMX Bonus IPRO,Control,1,100,19.4,13.2,32.6,63.0,16.4,79.4
BMX Bonus IPRO,Control,2,100,21.2,11.7,32.9,62.5,16.6,79.1
BMX Bonus IPRO,Control,3,100,19.0,11.6,30.6,59.1,18.6,77.7
BMX Bonus IPRO,Control,4,100,16.9,13.7,30.6,63.1,16.6,79.7
BMX Desafio RR,Control,1,100,13.5,13.8,27.3,39.2,13.7,52.9
BMX Desafio RR,Control,2,100,13.9,13.2,27.0,38.2,13.9,52.1
BMX Desafio RR,Control,3,100,7.3,11.7,19.0,39.6,13.9,53.4
BMX Desafio RR,Control,4,96,14.2,14.6,28.8,37.0,14.9,51.9
BMX Foco IPRO,Control,1,84,12.7,9.1,21.8,41.7,10.1,51.8
BMX Foco IPRO,Control,2,80,11.2,9.3,20.5,36.9,9.8,46.7
BMX Foco IPRO,Control,3,80,11.6,10.8,22.4,37.5,12.5,50.0
BMX Foco IPRO,Control,4,86,11.4,9.9,21.3,35.8,12.8,48.6
BMX Ponta IPRO,Control,1,96,16.5,11.0,27.5,40.7,12.1,52.7
BMX Ponta IPRO,Control,2,100,15.0,13.0,28.0,45.8,14.6,60.4
BMX Ponta IPRO,Control,3,96,10.1,10.2,20.3,36.4,12.6,49.0
BMX Ponta IPRO,Control,4,92,15.4,11.9,27.2,44.2,15.9,60.1
CD 238 RR,Control,1,100,17.0,13.2,30.2,45.0,15.6,60.6
CD 238 RR,Control,2,100,15.5,14.3,29.8,43.6,15.2,58.8
CD 238 RR,Control,3,100,20.0,14.5,34.4,43.8,14.2,58.0
CD 238 RR,Control,4,100,17.7,14.7,32.4,44.5,17.2,61.7
CD 250,Control,1,100,19.4,17.8,37.1,49.9,18.0,67.9
CD 250,Control,2,100,20.2,17.0,37.2,50.3,15.0,65.3
CD 250,Control,3,96,17.7,15.6,33.3,49.1,17.4,66.5
CD 250,Control,4,96,20.3,15.7,36.0,51.6,17.7,69.3
CG 67 RR,Control,1,76,14.9,10.2,25.1,44.5,14.9,59.4
CG 67 RR,Control,2,88,13.5,10.1,23.5,43.9,17.5,61.3
CG 67 RR,Control,3,88,13.3,10.8,24.1,44.7,16.4,61.1
CG 67 RR,Control,4,92,11.6,12.0,23.6,42.2,17.0,59.1
CG 68 RR,Control,1,92,17.7,14.3,32.0,49.8,15.7,65.5
CG 68 RR,Control,2,92,15.5,12.7,28.2,48.3,16.7,65.0
CG 68 RR,Control,3,100,18.5,16.2,34.7,51.4,15.9,67.3
CG 68 RR,Control,4,100,18.1,15.8,33.9,48.2,15.9,64.1
CG 7464 RR,Control,1,100,17.6,12.2,29.8,50.4,16.5,66.9
CG 7464 RR,Control,2,96,15.3,13.5,28.8,47.5,15.7,63.2
CG 7464 RR,Control,3,96,16.0,12.6,28.5,46.0,15.8,61.8
CG 7464 RR,Control,4,96,16.0,11.2,27.2,44.9,14.7,59.7
CG 7665 RR,Control,1,100,18.2,11.1,29.3,43.2,13.2,56.4
CG 7665 RR,Control,2,92,20.3,13.8,34.1,35.9,13.6,49.5
CG 7665 RR,Control,3,96,15.9,10.5,26.4,45.8,13.8,59.7
CG 7665 RR,Control,4,96,19.0,12.9,31.9,45.4,14.8,60.2
CG 8166 RR,Control,1,100,18.3,14.1,32.4,52.1,17.2,69.3
CG 8166 RR,Control,2,100,15.5,16.3,31.8,56.5,22.1,78.6
CG 8166 RR,Control,3,100,18.8,13.5,32.3,49.9,17.4,67.3
CG 8166 RR,Control,4,100,16.8,14.8,31.6,53.5,18.7,72.2
FPS Antares RR,Control,1,92,14.5,13.2,27.7,50.3,19.9,70.2
FPS Antares RR,Control,2,88,15.3,10.6,25.9,48.7,20.0,68.7
FPS Antares RR,Control,3,84,15.9,14.8,30.6,47.0,18.3,65.3
FPS Antares RR,Control,4,88,13.1,10.1,23.1,48.4,21.8,70.2
FPS Atalanta IPRO,Control,1,100,14.8,14.7,29.5,43.2,13.7,56.9
FPS Atalanta IPRO,Control,2,100,18.1,14.3,32.4,43.7,15.8,59.5
FPS Atalanta IPRO,Control,3,100,15.8,13.6,29.4,37.3,16.1,53.5
FPS Atalanta IPRO,Control,4,100,18.8,17.8,36.6,42.9,17.2,60.2
FPS Iguacu RR,Control,1,100,17.2,11.4,28.6,43.0,14.3,57.3
FPS Iguacu RR,Control,2,92,19.3,12.0,31.3,44.1,13.2,57.3
FPS Iguacu RR,Control,3,100,18.8,13.7,32.5,40.8,14.9,55.7
FPS Iguacu RR,Control,4,100,19.8,14.5,34.3,45.5,14.5,60.0
FPS Jupiter RR,Control,1,100,18.9,14.6,33.5,45.1,13.0,58.1
FPS Jupiter RR,Control,2,100,18.3,16.2,34.5,41.9,13.3,55.1
FPS Jupiter RR,Control,3,96,13.5,13.6,27.1,41.5,13.6,55.1
FPS Jupiter RR,Control,4,96,19.0,15.8,34.8,40.2,14.3,54.5
FPS Netuno RR,Control,1,84,12.7,14.8,27.5,37.0,16.4,53.4
FPS Netuno RR,Control,2,100,17.3,11.6,28.8,44.9,18.3,63.2
FPS Netuno RR,Control,3,92,19.8,16.2,36.0,48.4,18.3,66.7
FPS Netuno RR,Control,4,96,18.9,12.6,31.5,49.8,17.1,66.8
FPS Paranapanema RR,Control,1,100,14.1,12.8,26.9,49.3,16.1,65.4
FPS Paranapanema RR,Control,2,100,16.6,13.9,30.5,50.9,15.0,65.9
FPS Paranapanema RR,Control,3,96,16.5,13.7,30.2,48.2,15.9,64.1
FPS Paranapanema RR,Control,4,100,17.7,17.1,34.8,52.8,18.4,71.2
FPS solar IPRO,Control,1,100,17.2,11.3,28.5,47.2,18.6,65.8
FPS solar IPRO,Control,2,100,15.8,13.1,29.0,47.1,15.6,62.7
FPS solar IPRO,Control,3,92,14.4,11.6,26.0,41.7,15.2,56.9
FPS solar IPRO,Control,4,96,11.0,13.0,23.9,39.2,15.5,54.7
FPS Solimoes RR,Control,1,100,15.8,11.1,26.9,53.9,17.7,71.7
FPS Solimoes RR,Control,2,100,16.2,12.4,28.6,54.0,18.6,72.6
FPS Solimoes RR,Control,3,92,15.1,11.8,26.9,49.5,17.6,67.1
FPS Solimoes RR,Control,4,92,17.0,13.9,30.8,50.4,17.5,67.9
FPS Urano RR,Control,1,100,16.0,12.3,28.3,44.5,16.6,61.1
FPS Urano RR,Control,2,100,16.2,14.3,30.5,45.3,17.5,62.8
FPS Urano RR,Control,3,100,16.0,12.5,28.5,47.2,19.8,67.0
FPS Urano RR,Control,4,100,15.8,12.4,28.2,42.4,14.9,57.3
HO Cristalina IPRO,Control,1,84,16.7,13.1,29.8,54.5,19.2,73.7
HO Cristalina IPRO,Control,2,92,16.0,12.6,28.6,53.1,17.3,70.5
HO Cristalina IPRO,Control,3,84,17.8,13.0,30.8,47.6,14.8,62.4
HO Cristalina IPRO,Control,4,88,14.6,11.7,26.3,50.1,17.6,67.6
HO Maracai IPRO,Control,1,92,15.0,9.9,24.9,49.1,14.8,64.0
HO Maracai IPRO,Control,2,88,16.7,10.5,27.2,47.6,14.9,62.5
HO Maracai IPRO,Control,3,92,16.3,10.1,26.4,47.0,15.1,62.1
HO Maracai IPRO,Control,4,100,18.0,11.4,29.4,49.6,17.6,67.1
HO Paranaiba IPRO,Control,1,96,21.0,16.7,37.7,62.4,20.9,83.3
HO Paranaiba IPRO,Control,2,96,17.8,13.7,31.5,50.5,20.5,71.1
HO Paranaiba IPRO,Control,3,100,20.0,15.8,35.8,58.3,19.5,77.7
HO Paranaiba IPRO,Control,4,100,17.0,13.6,30.6,54.3,18.5,72.8
LG 60163 IPRO,Control,1,100,16.8,16.4,33.2,42.4,14.9,57.4
LG 60163 IPRO,Control,2,96,18.7,15.6,34.3,45.1,14.9,60.0
LG 60163 IPRO,Control,3,100,18.9,14.5,33.4,43.3,15.3,58.6
LG 60163 IPRO,Control,4,100,18.9,13.6,32.5,41.7,13.7,55.4
LG 60177 IPRO,Control,1,96,14.5,10.1,24.6,46.9,15.5,62.4
LG 60177 IPRO,Control,2,96,16.8,11.7,28.5,51.3,16.8,68.1
LG 60177 IPRO,Control,3,96,15.1,10.2,25.3,46.2,13.5,59.8
LG 60177 IPRO,Control,4,84,16.3,11.4,27.7,51.7,15.1,66.8
